cim_field,event_count,event_simpleNames
process_path,10,DriverLoad;ImageHash;KernelModeLoadImage;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;ScreenshotTakenEtw;SyntheticProcessRollup2;WmiCreateProcess
query,1,DnsRequest
query_count,1,DnsRequest
query_type,1,DnsRequest
reason,3,UserLogon;UserLogonFailed;UserLogonFailed2
record_type,1,DnsRequest
registry_hive,2,AsepKeyUpdate;AsepValueUpdate
registry_path,2,AsepKeyUpdate;AsepValueUpdate
registry_value_data,1,AsepValueUpdate
registry_value_name,2,AsepKeyUpdate;AsepValueUpdate
registry_value_type,2,AsepKeyUpdate;AsepValueUpdate
reply_code,1,DnsRequest
reply_code_id,1,DnsRequest
result,5,CriticalEnvironmentVariableChanged;InstalledApplication;NewExecutableRenamed;SensitiveWmiQuery;UserLogoff
result_id,1,UserLogoff
serial,2,HostInfo;InstanceMetadata
service,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
service_exec,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
service_name,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
service_path,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
severity,2,QuarantinedFile;QuarantinedFileState
signature,4,AssociateIndicator;DnsRequest;ScriptControlDetectInfo;ScriptControlScanInfo
signature_id,1,QuarantinedFile
src,19,AssociateIndicator;CriticalEnvironmentVariableChanged;DnsRequest;FileRenameInfo;InstalledApplication;NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6;ScriptControlDetectInfo;ScriptControlScanInfo;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2
src_aid,53,AsepKeyUpdate;AsepValueUpdate;AssociateIndicator;CommandHistory;CreateService;CriticalEnvironmentVariableChanged;CriticalFileAccessed;DirectoryCreate;DnsRequest;DriverLoad;ELFFileWritten;EndOfProcess;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;HostInfo;HostedServiceStarted;ImageHash;InjectedThread;InstalledApplication;InstanceMetadata;KernelModeLoadImage;LFODownloadConfirmation;ModifyServiceBinary;NewExecutableRenamed;NewExecutableWritten;NewScriptWritten;OsVersionInfo;PackedExecutableWritten;PeFileWritten;PeVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;QuarantinedFile;QuarantinedFileState;RarFileWritten;ScheduledTaskRegistered;ScreenshotTakenEtw;ScriptControlDetectInfo;ScriptControlScanInfo;SensitiveWmiQuery;ServiceStarted;SyntheticProcessRollup2;SystemCapacity;UserIdentity;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2;WmiCreateProcess
src_ip,6,LocalIpAddressIP4;LocalIpAddressIP6;ScriptControlDetectInfo;ScriptControlScanInfo;UserLogon;UserLogonFailed2
src_nt_domain,2,UserLogoff;UserLogon
src_port,8,NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6
src_user,1,UserLogoff
src_user_id,2,UserLogon;UserLogonFailed
src_user_name,1,UserLogoff
src_user_type,3,UserLogoff;UserLogon;UserLogonFailed2
state,8,NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6
status,14,AsepKeyUpdate;AsepValueUpdate;CreateService;CriticalEnvironmentVariableChanged;FileRenameInfo;HostedServiceStarted;InstalledApplication;ModifyServiceBinary;NewExecutableRenamed;ScheduledTaskRegistered;SensitiveWmiQuery;ServiceStarted;UserIdentity;UserLogoff
transaction_id,1,DnsRequest
transport_dest_port,8,NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6
type,3,AssociateIndicator;ScriptControlDetectInfo;ScriptControlScanInfo
url_domain,1,LFODownloadConfirmation
user,19,AssociateIndicator;CreateService;CriticalFileAccessed;EndOfProcess;HostedServiceStarted;NewScriptWritten;PeFileWritten;ProcessRollup2;ScheduledTaskRegistered;ScreenshotTakenEtw;SensitiveWmiQuery;ServiceStarted;SyntheticProcessRollup2;UserIdentity;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2;WmiCreateProcess
user_id,14,CommandHistory;EndOfProcess;FileRenameInfo;ImageHash_Win;PeFileWritten;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;SyntheticProcessRollup2;UserIdentity;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2
user_name,1,UserLogoff
user_type,5,SensitiveWmiQuery;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2
vendor_account,3,UserLogon;UserLogonFailed;UserLogonFailed2
vendor_product,0,
version,2,InstanceMetadata;OsVersionInfo
