sourcetype,kind,cim_field,fdr_field,events,detail
crowdstrike:events:sensor,LOOKUP,CpuVendor_meaning,CpuVendor,,LOOKUP-crowdstrike_ta_CpuVendor via crowdstrike_ta_lookup_CpuVendor (CpuVendor_meaning)
crowdstrike:events:sensor,LOOKUP,CrashLoadedModulesVersion_meaning,CrashLoadedModulesVersion,,LOOKUP-crowdstrike_ta_CrashLoadedModulesVersion via crowdstrike_ta_lookup_CrashLoadedModulesVersion (CrashLoadedModulesVersion_meaning)
crowdstrike:events:sensor,LOOKUP,CrashThreadCallStackVersion_meaning,CrashThreadCallStackVersion,,LOOKUP-crowdstrike_ta_CrashThreadCallStackVersion via crowdstrike_ta_lookup_CrashThreadCallStackVersion (CrashThreadCallStackVersion_meaning)
crowdstrike:events:sensor,LOOKUP,CreateProcessType_meaning,CreateProcessType,,LOOKUP-crowdstrike_ta_CreateProcessType via crowdstrike_ta_lookup_CreateProcessType (CreateProcessType_meaning)
crowdstrike:events:sensor,LOOKUP,CurrentFunctionalityLevel_meaning,CurrentFunctionalityLevel,,LOOKUP-crowdstrike_ta_CurrentFunctionalityLevel via crowdstrike_ta_lookup_CurrentFunctionalityLevel (CurrentFunctionalityLevel_meaning)
crowdstrike:events:sensor,LOOKUP,DcPolicyAction_meaning,DcPolicyAction,,LOOKUP-crowdstrike_ta_DcPolicyAction via crowdstrike_ta_lookup_DcPolicyAction (DcPolicyAction_meaning)
crowdstrike:events:sensor,LOOKUP,DcPolicyBlockTechnique_meaning,DcPolicyBlockTechnique,,LOOKUP-crowdstrike_ta_DcPolicyBlockTechnique via crowdstrike_ta_lookup_DcPolicyBlockTechnique (DcPolicyBlockTechnique_meaning)
crowdstrike:events:sensor,LOOKUP,DcPolicyFlags_meaning,DcPolicyFlags,,LOOKUP-crowdstrike_ta_DcPolicyFlags via crowdstrike_ta_bitmask_lookup_DcPolicyFlags (result)
crowdstrike:events:sensor,LOOKUP,DcPolicyMassStorageBlockPermissions_meaning,DcPolicyMassStorageBlockPermissions,,LOOKUP-crowdstrike_ta_DcPolicyMassStorageBlockPermissions via crowdstrike_ta_bitmask_lookup_DcPolicyMassStorageBlockPermissions (result)
crowdstrike:events:sensor,LOOKUP,DcPolicyMatchMethod_meaning,DcPolicyMatchMethod,,LOOKUP-crowdstrike_ta_DcPolicyMatchMethod via crowdstrike_ta_lookup_DcPolicyMatchMethod (DcPolicyMatchMethod_meaning)
